Co,Mth,BatchSeq,Equipment,CurrentOdometer,CurrentOdometer,MeterReadDate
1,02/1/2020,1,AE144,22286.75
1,02/1/2020,2,AE132 ,39990.55
1,02/1/2020,3,AE146,109903.078
1,02/1/2020,4,AE143,27985.56
1,02/1/2020,5,AE117 ,70293.26
1,02/1/2020,6,AE119 ,44656.95
1,02/1/2020,7,AE077 ,161303.953
1,02/1/2020,8,AE116 ,61615.16
1,02/1/2020,9,AE1021 ,175163.828
1,02/1/2020,10,AE084 ,103332.422
1,02/1/2020,11,AE135 ,106660.57
1,02/1/2020,12,AE1007 ,56769.06
1,02/1/2020,13,AE060 ,115648.953
1,02/1/2020,14,AE059 ,137613.469
1,02/1/2020,15,AE099 ,59348.65
1,02/1/2020,16,AE045 ,131383.375
1,02/1/2020,17,AE078 ,95494.05
1,02/1/2020,18,AE107,206248.6
1,02/1/2020,19,AE133 ,31753.58
1,02/1/2020,20,AE128 ,30452.4
1,02/1/2020,21,AE104 ,41923.56
1,02/1/2020,22,AE126 ,65610.94
1,02/1/2020,23,AE058 ,131806.547
1,02/1/2020,24,AE082 ,17505.89
1,02/1/2020,25,AE111 ,55065.08
1,02/1/2020,26,AE136 ,156760.313
1,02/1/2020,27,AE124 ,28473.0
1,02/1/2020,28,AE137 ,7852.84
1,02/1/2020,29,AE142,98783.44
1,02/1/2020,30,AE106 ,47909.72
1,02/1/2020,31,AE145,203877.063
1,02/1/2020,32,AE110 ,30552.57
1,02/1/2020,33,AE112 ,33169.96
1,02/1/2020,34,AE067 ,122455.609
4,02/1/2020,35,GPS001 ,231376.344
4,02/1/2020,36,GPS002 ,160224.7
1,02/1/2020,37,AE089 ,124500.18
1,02/1/2020,38,AE085 ,104714.469
1,02/1/2020,39,AE064 ,61664.07
1,02/1/2020,40,AE113 ,39724.05
1,02/1/2020,41,AE105 ,43951.57
1,02/1/2020,42,AE108 ,94199.84
2,02/1/2020,43,CT005 ,44293.39
1,02/1/2020,44,AE092 ,120244.289
1,02/1/2020,45,AE139,7205.07
1,02/1/2020,46,AE103 ,34059.59
2,02/1/2020,47,CT004 ,61680.56
1,02/1/2020,48,AE141,179413.969
1,02/1/2020,49,AE127 ,48576.69
1,02/1/2020,50,AE102 ,163833.328
2,02/1/2020,51,CT006,29628.73
5,02/1/2020,52,ET002,190843.875
5,02/1/2020,53,ET001 ,214951.938
1,02/1/2020,54,AE140,209718.984
1,02/1/2020,55,AE097 ,74781.08
1,02/1/2020,56,AE114 ,29994.72
1,02/1/2020,57,AE138 ,181827.25
1,02/1/2020,58,AE079 ,122341.789
1,02/1/2020,59,AE101 ,105681.57
1,02/1/2020,60,AE109 ,81897.24
1,02/1/2020,61,AE121 ,43217.1
1,02/1/2020,62,AE115 ,50360.97
1,02/1/2020,63,AE120 ,26727.33
1,02/1/2020,64,AE098 ,98541.28
1,02/1/2020,65,AE134 ,119827.852
1,02/1/2020,66,AE118 ,132407.453
